Test,DAYSBACK,PCTMIN,PCTMAX,ATHMIN,ATHMAX,MAXBUYS,BUYDROP,TARGET,STOPLOSS,MAXDURA,WinRate,TotalTrade,Executed,Open,Closed,ProfitTGT,LossSL,LossFEMD,LossFECD,ProfitFEMD,ProfitFECD,Pending,Expired,Invalid,TotalRows,Wins,Losses,TotalStock,SumProfit,SumGainFin,Dur5,Dur10,Dur15,Dur20,Dur25,Dur30,Dur35,Dur40,ExitTGT,ExitSL,ExitFEMD,ExitFECD
530566,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,20,60.74,148,136,1,135,38,23,30,0,44,0,0,12,3,151,82,53,151,53826.13,553.06,6,22,25,82,0,0,0,0,38,23,74,0
530567,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,20,60.0,148,136,1,135,0,23,31,0,81,0,0,12,3,151,81,54,151,50288.65,516.79,3,10,5,117,0,0,0,0,0,23,112,0
530568,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,20,65.19,148,136,1,135,41,0,47,0,47,0,0,12,3,151,88,47,151,69902.19,717.17,3,12,20,100,0,0,0,0,41,0,94,0
530569,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,30,57.78,148,136,1,135,52,39,18,0,26,0,0,12,3,151,78,57,151,55233.39,573.6,6,22,25,8,20,54,0,0,52,39,44,0
530570,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,30,54.81,148,136,1,135,0,40,21,0,74,0,0,12,3,151,74,61,151,43449.2,450.2,3,10,5,5,16,96,0,0,0,40,95,0
530571,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,30,64.44,148,136,1,135,59,0,48,0,28,0,0,12,3,151,87,48,151,84974.34,875.52,3,12,20,6,6,88,0,0,59,0,76,0
530572,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,40,54.81,148,136,1,135,57,41,12,8,5,12,0,12,3,151,74,61,151,52426.88,546.89,6,22,25,8,20,10,6,38,57,41,17,20
530573,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,40,49.63,148,136,1,135,0,42,18,8,13,54,0,12,3,151,67,68,151,35501.34,373.32,3,10,5,5,16,1,3,92,0,42,31,62
530574,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,40,62.96,148,136,1,135,66,0,33,17,6,13,0,12,3,151,85,50,151,79546.83,822.92,3,12,20,6,6,12,6,70,66,0,39,30
530575,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,50,55.22,148,136,2,134,57,42,0,18,0,17,0,12,3,151,74,60,151,52081.28,542.66,6,22,25,8,20,10,6,37,57,42,0,35
530576,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,50,50.0,148,136,2,134,0,44,0,23,0,67,0,12,3,151,67,67,151,33011.91,347.17,3,10,5,5,16,1,3,91,0,44,0,90
530577,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,50,62.69,148,136,2,134,66,0,0,50,0,18,0,12,3,151,84,50,151,76986.38,795.73,3,12,20,6,6,12,6,69,66,0,0,68
530578,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,60,55.22,148,136,2,134,57,42,0,18,0,17,0,12,3,151,74,60,151,52081.28,542.66,6,22,25,8,20,10,6,37,57,42,0,35
530579,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,60,50.0,148,136,2,134,0,44,0,23,0,67,0,12,3,151,67,67,151,33011.91,347.17,3,10,5,5,16,1,3,91,0,44,0,90
530580,40,-0.06,-0.05,-0.5,-0.25,1,0.2,0.2,0.15,60,62.69,148,136,2,134,66,0,0,50,0,18,0,12,3,151,84,50,151,76986.38,795.73,3,12,20,6,6,12,6,69,66,0,0,68
530581,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,20,71.85,148,136,1,135,86,20,18,0,11,0,0,12,3,151,97,38,151,43933.94,584.73,50,31,16,38,0,0,0,0,86,20,29,0
530582,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,20,62.96,148,136,1,135,0,23,27,0,85,0,0,12,3,151,85,50,151,58149.42,746.26,3,10,5,117,0,0,0,0,0,23,112,0
530583,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,20,78.52,148,136,1,135,91,0,29,0,15,0,0,12,3,151,106,29,151,72608.23,744.66,47,23,15,50,0,0,0,0,91,0,44,0
530584,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,30,73.33,148,136,1,135,95,28,8,0,4,0,0,12,3,151,99,36,151,49905.15,639.29,50,31,16,9,13,16,0,0,95,28,12,0
530585,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,30,55.56,148,136,1,135,0,40,20,0,75,0,0,12,3,151,75,60,151,53852.5,731.35,3,10,5,5,16,96,0,0,0,40,95,0
530586,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,30,84.44,148,136,1,135,104,0,21,0,10,0,0,12,3,151,114,21,151,95159.42,890.55,47,23,15,6,8,36,0,0,104,0,31,0
530587,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,40,74.07,148,136,1,135,98,28,5,2,0,2,0,12,3,151,100,35,151,50417.33,646.1,50,31,16,9,13,4,2,10,98,28,5,4
530588,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,40,53.33,148,136,1,135,0,42,18,3,13,59,0,12,3,151,72,63,151,44807.48,658.84,3,10,5,5,16,1,3,92,0,42,31,62
530589,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,40,85.19,148,136,1,135,109,0,15,5,1,5,0,12,3,151,115,20,151,94864.19,893.54,47,23,15,6,8,5,4,27,109,0,16,10
530590,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,50,74.63,148,136,2,134,98,29,0,5,0,2,0,12,3,151,100,34,151,50363.39,650.46,50,31,16,9,13,4,2,9,98,29,0,7
530591,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,50,53.73,148,136,2,134,0,44,0,18,0,72,0,12,3,151,72,62,151,41435.03,637.22,3,10,5,5,16,1,3,91,0,44,0,90
530592,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,50,85.82,148,136,2,134,109,0,0,19,0,6,0,12,3,151,115,19,151,94160.27,894.46,47,23,15,6,8,5,4,26,109,0,0,25
530593,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,60,74.63,148,136,2,134,98,29,0,5,0,2,0,12,3,151,100,34,151,50363.39,650.46,50,31,16,9,13,4,2,9,98,29,0,7
530594,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,60,53.73,148,136,2,134,0,44,0,18,0,72,0,12,3,151,72,62,151,41435.03,637.22,3,10,5,5,16,1,3,91,0,44,0,90
530595,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.1,0.15,60,85.82,148,136,2,134,109,0,0,19,0,6,0,12,3,151,115,19,151,94160.27,894.46,47,23,15,6,8,5,4,26,109,0,0,25
530596,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,20,63.7,148,136,1,135,39,23,26,0,47,0,0,12,3,151,86,49,151,61462.71,783.56,6,24,24,81,0,0,0,0,39,23,73,0
530597,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,20,62.96,148,136,1,135,0,23,27,0,85,0,0,12,3,151,85,50,151,58149.42,746.26,3,10,5,117,0,0,0,0,0,23,112,0
530598,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,20,71.11,148,136,1,135,42,0,39,0,54,0,0,12,3,151,96,39,151,89482.11,955.72,3,14,19,99,0,0,0,0,42,0,93,0
530599,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,30,58.52,148,136,1,135,54,39,17,0,25,0,0,12,3,151,79,56,151,63586.43,836.39,6,24,24,8,20,53,0,0,54,39,42,0
530600,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,30,55.56,148,136,1,135,0,40,20,0,75,0,0,12,3,151,75,60,151,53852.5,731.35,3,10,5,5,16,96,0,0,0,40,95,0
530601,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,30,72.59,148,136,1,135,62,0,37,0,36,0,0,12,3,151,98,37,151,117605.86,1165.64,3,14,19,6,8,85,0,0,62,0,73,0
530602,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,40,58.52,148,136,1,135,60,41,12,3,5,14,0,12,3,151,79,56,151,57333.5,799.22,6,24,24,8,20,11,7,35,60,41,17,17
530603,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,40,53.33,148,136,1,135,0,42,18,3,13,59,0,12,3,151,72,63,151,44807.48,658.84,3,10,5,5,16,1,3,92,0,42,31,62
530604,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,40,69.63,148,136,1,135,70,0,31,10,7,17,0,12,3,151,94,41,151,102934.63,1086.12,3,14,19,6,8,12,7,66,70,0,38,27
530605,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,50,58.96,148,136,2,134,60,42,0,13,0,19,0,12,3,151,79,55,151,56334.89,794.64,6,24,24,8,20,11,7,34,60,42,0,32
530606,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,50,53.73,148,136,2,134,0,44,0,18,0,72,0,12,3,151,72,62,151,41435.03,637.22,3,10,5,5,16,1,3,91,0,44,0,90
530607,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,50,70.15,148,136,2,134,70,0,0,40,0,24,0,12,3,151,94,40,151,97888.37,1060.97,3,14,19,6,8,12,7,65,70,0,0,64
530608,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,60,58.96,148,136,2,134,60,42,0,13,0,19,0,12,3,151,79,55,151,56334.89,794.64,6,24,24,8,20,11,7,34,60,42,0,32
530609,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,60,53.73,148,136,2,134,0,44,0,18,0,72,0,12,3,151,72,62,151,41435.03,637.22,3,10,5,5,16,1,3,91,0,44,0,90
530610,40,-0.06,-0.05,-0.5,-0.25,2,0.1,0.2,0.15,60,70.15,148,136,2,134,70,0,0,40,0,24,0,12,3,151,94,40,151,97888.37,1060.97,3,14,19,6,8,12,7,65,70,0,0,64
530611,40,-0.06,-0.05,-0.5,-0.25,2,0.2,0.1,0.15,20,67.41,148,136,1,135,82,20,24,0,9,0,0,12,3,151,91,44,151,35521.64,367.42,47,31,16,41,0,0,0,0,82,20,33,0
530612,40,-0.06,-0.05,-0.5,-0.25,2,0.2,0.1,0.15,20,60.0,148,136,1,135,0,23,31,0,81,0,0,12,3,151,81,54,151,50288.65,516.79,3,10,5,117,0,0,0,0,0,23,112,0
530613,40,-0.06,-0.05,-0.5,-0.25,2,0.2,0.1,0.15,20,71.11,148,136,1,135,87,0,39,0,9,0,0,12,3,151,96,39,151,52385.82,539.19,44,23,13,55,0,0,0,0,87,0,48,0
