Test,DAYSBACK,PCTMIN,PCTMAX,ATHMIN,ATHMAX,MAXBUYS,BUYDROP,TARGET,STOPLOSS,MAXDURA,WinRate,TotalTrade,Executed,Open,Closed,ProfitTGT,LossSL,LossFEMD,LossFECD,ProfitFEMD,ProfitFECD,Pending,Expired,Invalid,TotalRows,Wins,Losses,TotalStock,SumProfit,SumGainFin,Dur5,Dur10,Dur15,Dur20,Dur25,Dur30,Dur35,Dur40,ExitTGT,ExitSL,ExitFEMD,ExitFECD
230566,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,20,66.67,222,186,6,180,78,33,27,0,42,0,0,36,2,224,120,60,224,119135.26,1218.63,26,39,28,87,0,0,0,0,78,33,69,0
230567,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,20,65.56,222,186,6,180,0,33,29,0,118,0,0,36,2,224,118,62,224,165449.58,1685.34,6,13,7,154,0,0,0,0,0,33,147,0
230568,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,20,70.0,222,186,6,180,81,0,54,0,45,0,0,36,2,224,126,54,224,143783.21,1468.48,20,27,21,112,0,0,0,0,81,0,99,0
230569,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,30,65.71,222,186,11,175,87,45,15,0,28,0,0,36,2,224,115,60,224,113693.81,1163.39,26,39,28,18,10,54,0,0,87,45,43,0
230570,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,30,62.64,222,186,12,174,0,47,18,0,109,0,0,36,2,224,109,65,224,143866.45,1481.43,6,13,7,7,7,134,0,0,0,47,127,0
230571,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,30,73.99,222,186,13,173,93,0,45,0,35,0,0,36,2,224,128,45,224,159810.32,1633.86,20,27,21,13,6,86,0,0,93,0,80,0
230572,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,40,63.43,222,186,11,175,91,50,13,1,5,15,0,36,2,224,111,64,224,110378.69,1137.0,26,39,28,18,10,11,7,36,91,50,18,16
230573,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,40,58.38,221,185,12,173,0,54,17,1,17,84,0,36,3,224,101,72,224,158650.89,1642.86,6,13,7,7,7,7,6,120,0,54,34,85
230574,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,40,73.41,222,186,13,173,98,0,33,13,6,23,0,36,2,224,127,46,224,152240.94,1563.87,20,27,21,13,6,6,4,76,98,0,39,36
230575,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,50,62.29,222,186,11,175,91,52,0,14,0,18,0,36,2,224,109,66,224,106361.19,1096.19,26,39,28,18,10,11,7,36,91,52,0,32
230576,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,50,56.65,221,185,12,173,0,57,0,18,0,98,0,36,3,224,98,75,224,152928.8,1584.49,6,13,7,7,7,7,6,120,0,57,0,116
230577,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,50,72.25,222,186,13,173,98,0,0,48,0,27,0,36,2,224,125,48,224,144051.76,1480.51,20,27,21,13,6,6,4,76,98,0,0,75
230578,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,60,62.29,222,186,11,175,91,52,0,14,0,18,0,36,2,224,109,66,224,106361.19,1096.19,26,39,28,18,10,11,7,36,91,52,0,32
230579,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,60,56.65,221,185,12,173,0,57,0,18,0,98,0,36,3,224,98,75,224,152928.8,1584.49,6,13,7,7,7,7,6,120,0,57,0,116
230580,20,-0.08,-0.05,-0.6,-0.45,1,0.2,0.2,0.15,60,72.25,222,186,13,173,98,0,0,48,0,27,0,36,2,224,125,48,224,144051.76,1480.51,20,27,21,13,6,6,4,76,98,0,0,75
230581,20,-0.08,-0.05,-0.6,-0.45,2,0.1,0.1,0.15,20,76.09,222,186,2,184,127,30,14,0,13,0,0,36,2,224,140,44,224,75337.79,913.32,88,39,20,37,0,0,0,0,127,30,27,0
